DISPLAY ID,English,Krio
,TITLE,
UIStart,Now we are ready to start.,
UIPractice,Practice a section,
UIOptions,Change the simulation settings,
UIExit,Exit the simulation,
Buddy_Title_Intro,Hello I'm your buddy./nI am going to guide you through your PPE training./nI will help you keep safe so that you can keep serving.,
Buddy_Poster_Intro,These posters on the wall will guide you./nThey will light up when you have completed each section. When you have finished you can go back and practice.,
Buddy_NewUser_Intro,Click on the poster with the plus sign if you are using this module for the first time and enter your details.,
Buddy_LoadUser_Intro,Click on the poster with the tick sign if you are returning to the module and have already registered previously.,
Buddy_LoadUser_Welcome,Welcome back. Choose a scene to play again.,
Buddy_Donning_Intro,Here we will choose our PPE. There is different equipment for different times. It is very important to put on PPE in the right order. We help you remember to put on your PPE safely.,
Buddy_RiskHazard_Intro,"We will help you see risks and hazards. Together we can keep you, your work mates and your patients safer./nWe will test whether you can spot all the hazards.",
Buddy_Doffing_Intro,"We will learn how to safely take off PPE. It is when you need to be most careful. I will help you./nAlways ask a buddy to help you take off your PPE. Practice, practice, practice will make perfect.",
,,
,EQUIPMENT,
Equipment_Main,"When you enter high risk areas you will need enhanced PPE. For this you will need scrubs and boots, inner gloves, a gown, a face mask, goggles, a hairnet if you have long hair, a hood, outer gloves and an apron.",NEED TRANSLATION
Equipment_Main_Basic,"You have chosen to wear basic PPE./nThis is needed before any encounter with a patient in a low risk situation./nPlease remember not to wear any PPE when you are eating or drinking, if you are on a break or if you need to use the phone.",NEED TRANSLATION
Equipment_Main_Basic_2,You can keep your shoes on but you will need to clean them with chlorinated water or disinfectant if they become soiled./nAs soon as you arrive at the health facility take off your street clothes and shoes and put on your work clothes and closed toed shoes or boots.,NEED TRANSLATION
Equipment_Main_Basic_3,If you are working in a labor or maternity area you must wear boots because of the extra risk of coming into contact with bodily fluids.,NEED TRANSLATION
Equipment_FaceMask,The face mask protects your nose and mouth and can be worn with the face shield or goggles.,NEED TRANSLATION
Equipment_InnerGloves,Gloves protect the hands and you may need to wear an inner and outer glove for extra protection.,NEED TRANSLATION
Equipment_Gown,"The gown covers your upper body, skin and clothes.",NEED TRANSLATION
Equipment_Hood,"The hood protects the scalp, hair and neck./nIf you have long hair you will need a head cover for your scalp and hair.",NEED TRANSLATION
Equipment_FaceShield,The face shield protects your eyes and face.,NEED TRANSLATION
Equipment_OuterGloves,If you are cleaning then outer gloves should be the thick rubber cleaning gloves.,NEED TRANSLATION
Equipment_Apron,An apron will give added protection for your upper body skin and clothes and should be worn if you may be exposed to a lot of body fluids.,NEED TRANSLATION
Equipment_Goggles,Goggles also protect your eyes and face and can be used instead of a face shield.,
Equipment_Boots,Boots protect your feet and legs.,
Equipment_Scrubs,You will need scrubs.,
,,
,DONNING,
Buddy_DonningIntro,In this section we will cover the importance of PPE in infection prevention and control./nWe will describe each piece of PPE and the protection it gives you./nWe will explain the importance of carefully putting on PPE.,
PPEChoice_Basic,Basic PPE,NEED TRANSLATION
PPEChoice_Enhanced,Enhanced PPE,NEED TRANSLATION
PPEChoiceIntro,You should wear basic PPE because you do not know who has an infection. It is necessary to wear PPE before contact with every patient. Everyone working in a healthcare setting should wear the right PPE for the task./nNow please select which PPE you need by clicking on the left for basic and on the right for enhanced.,NEED TRANSLATION
PPEDonning,Before you put on your PPE there are important things to remember./nKeep safe by very carefully following infection control practices at all times. Never take short cuts.,NEED TRANSLATION
PPEDonning_2,I will be your buddy to help you keep safe. You should always have a buddy. We can check each other's PPE equipment to make sure it is safe and unused. Check there are no tears or damage.,
PPEDonning_3,"Never, never, never hurry when putting on or taking off PPE./nThey must both be done slowly and carefully./nAlways ask someone to be your buddy. Keeping yourself safe is the best way to help your patient.",
PPEDonning_4,"Before you start, drink water. You cannot drink water when you are wearing PPE./nGo to the toilet before you put on PPE. You cannot go to the toilet when you are wearing PPE.",
GuidedDonning_Preparation,Before putting on PPE we must take off all items that could become contaminated or catch on our clothing such as jewelry and put away your mobile phone.,NEED TRANSLATION
GuidedDonning_WashHands,"Immediately before you put on PPE wash your hands thoroughly. Use soap and water and 0.05% chlorine solution. If your hands are visibly clean, you can use alcohol based rub.",NEED TRANSLATION
GuidedDonning_Name,Before you are finished you write your name on your Apron.,NEED TRANSLATION
GuidedDonning_Done,Now we need to check if you have put on your PPE correctly./nWe need to check that all your body is covered when you go through a full range of movements.,NEED TRANSLATION
,,
GuidedDonning_FaceShield,The face shield will protect your eyes and nose. You should bend your head when you put on the face shield to help you remember to do that when you take it off. Make sure it is fitted comfortably above your eyebrows and will not slide down your face. Secure it with an elastic band or ties.,NEED TRANSLATION
GuidedDonning_Goggles,"When using enhanced PPE, if you have both goggles and face shield, we recommend using goggles. If you have tissues, make sure the goggles are clean and not foggy.",NEED TRANSLATION
GuidedDonning_Goggles_2,Lean forwards and place the goggles over your eyes without touching your face with your hands./Although your hands are clean now we want you to develop the habit of never touching your face when wearing PPE. Put the straps over your head and adjust them to make them comfortable.,
GuidedDonning_FaceMask,Check that the face mask is clean and unused. Do not put your hands on your face because you must remember not to do so when your hands are dirty.,NEED TRANSLATION
GuidedDonning_FaceZoom,"Make sure that there is no skin exposed between your goggles, face mask and hood",
GuidedDonning_HeadCover,Put on your head cover. NEED INSTRUCTION HERE,NEED TRANSLATION
GuidedDonning_Hood,If you have long hair it is best to use a hair cover under your hood. This will stop your hair getting contaminated./n Place the hood over your head and make sure there are no gaps between the hood and the gown.,NEED TRANSLATION
GuidedDonning_AttachedHood,You now need to put on your attached hood. NEED INSTRUCTION HERE,NEED TRANSLATION
GuidedDonning_Suit,Next you will need to put on your suit. NEED INSTRUCTION HERE,NEED TRANSLATION
GuidedDonning_Gown,Put on your gown with the opening at the back. Secure the gown at the neck and behind your back with the ties. I can help you./nMake sure there is no gap between the gloves and the gown./nInspect your gown to make sure there are no tears or has a factory fault.,NEED TRANSLATION
GuidedDonning_ReusableApron,Put on your apron by passing the straps over your head. Tie the apron at your waist.,NEED TRANSLATION
GuidedDonning_DisposableApron,Put on your apron by passing the straps over your head. Tie the apron at your waist.,NEED TRANSLATION
GuidedDonning_InnerGloves,Check the gloves are unused and are not torn./nWhen you put on your gloves you need to check they are not too tight. You need to be able to take them off quite easily without touching the outside of the glove.,NEED TRANSLATION
GuidedDonning_InnerGloves_Basic,When you put on your gloves you need to check they are not too tight./nYou need to be able to take them off quite easily without touching the outside of the glove./nMake sure there is no gap between the gloves and the gown./nIf there is a gap you need to find a larger gown because you must cover your wrists,NEED TRANSLATION
GuidedDonning_OuterGloves,Now you can put on your outer pair of gloves. Remember that your outer gloves must cover the outside of your gown sleeves./nPlease check that your wrists are covered if you stretch out your arms.,NEED TRANSLATION
,,
Buddy_UnguidedDonning_Intro,"In order to ensure that you have learnt the donning steps, you are now required to identify the correct steps for donning without any help from Buddy. You will be shown a checklist at the start, and then you will select the equipment in the correct order. If you select an equipment in the incorrect order then you will have to start again. You will have to identify the correct order twice.",
GoodDonning_Preparation,"Put away your mobile phone, and remove all jewellery now.",NEED TRANSLATION
GoodDonning_WashHands,"That's correct, wash your hands before you put on your PPE.",NEED TRANSLATION
GoodDonning_InnerGloves,Make sure the gloves are a good fit and not too tight.,NEED TRANSLATION
GoodDonning_Gown,Remember to tie the gown at the back.,NEED TRANSLATION
GoodDonning_FaceMask,"Your face mask needs to fit well over your mouth, nose and chin.",NEED TRANSLATION
GoodDonning_Goggles,Avoid putting your hands on the front of your goggles.,
GoodDonning_Hood,There should be no gaps between the hood and the gown.,NEED TRANSLATION
GoodDonning_FaceShield,Never touch the inside of the face shield with your hands.,NEED TRANSLATION
GoodDonning_OuterGloves,Remember your outer gloves must cover the outside of your gown sleeves.,NEED TRANSLATION
GoodDonning_ReusableApron,Tie the apron at your waist.,NEED TRANSLATION
GoodDonning_DisposableApron,Tie the apron at your waist.,NEED TRANSLATION
GoodDonning_Repeat,"Well done, you have put on your PPE correctly. Please try one more time.",NEED TRANSLATION
GoodDonning_Done,You have successfully selected your PPE in the correct order twice. You are now ready to proceed.,NEED TRANSLATION
,,
BadDonning,"That’s not the right item to put on now! It’s important to put your kit on in the correct order to ensure maximum protection. Have a look at the checklist to make sure you know the order, and when you are ready, try again.",NEED TRANSLATION
RepeatGuided,You got it wrong again. Let's go back and I'll guide you through the steps another time.,NEED TRANSLATION
,,
Donning_Roundup_Title,Well Done!,
Donning_Roundup_Body,You have successfully completed the donning section. Next we will look at some of the risks you may face whilst wearing PPE.,
,,
,DOFFING,
Buddy_DoffingIntro,I am now going to help you take off your PPE safely. Remember you need to be careful of your hands. Keep them away from your face at all times and below your nipple line. If you follow this rule at all times it will really reduce the risk of you touching your face by mistake.,NEED TRANSLATION
Buddy_DoffingIntro_2,"When taking off PPE always make sure the outside of the PPE does not touch your skin or any part of your body. Always start by taking off the outermost PPE first. The outer layer is likely to be the most contaminated. Protect your eyes, ears, nose and mouth and your whole face.",
Buddy_DoffingIntro_3,Keep your gloved hands clean so you can avoid spreading infection as you take off your PPE. You must wash your gloves and your hands many times. Close your eyes and mouth when you remove PPE over your head.,
,,
GuidedDoffing_CorrectWay,What is the correct way to take off this equipment?,
GuidedDoffing_FaceShield,Now you are ready to remove your face shield. Bend your head forward. This will allow the shield to fall downwards away from your face and stop any drops of liquid on the face shield from falling on your face. Close your eyes.,NEED TRANSLATION
